claim_id,claim_amount,claim_type,customer_tenure,claims_last_12m,avg_hist_claim,provider_id,geography,submission_delay,previously_rejected_claims,deviation_from_peer_claims,is_fraud
CLM_10084,6645.59,Auto,4,1,2490.93,PRV_102,Suburban,11,0,4154.66,1
CLM_10085,452.02,Auto,2,1,500.0,PRV_104,Urban,3,0,-47.98,0
CLM_10086,7358.05,Health,6,1,3539.75,PRV_111,Urban,0,0,3818.29,1
CLM_10087,5469.88,Property,54,2,1947.87,PRV_143,Urban,27,0,3522.01,0
CLM_10088,3457.44,Auto,106,0,1581.63,PRV_112,Urban,5,1,1875.8,0
CLM_10089,3212.71,Property,4,1,3247.77,PRV_123,Rural,1,0,-35.07,0
CLM_10090,3548.86,Health,54,2,4029.54,PRV_143,Suburban,24,0,-480.68,0
CLM_10091,1473.6,Auto,93,1,1303.19,PRV_131,Urban,4,0,170.41,0
CLM_10092,5919.09,Property,63,1,4003.4,PRV_115,Suburban,6,0,1915.69,0
CLM_10093,1882.71,Health,18,0,2096.79,PRV_131,Urban,11,0,-214.09,0
CLM_10094,9102.39,Auto,90,1,3648.93,PRV_144,Suburban,17,0,5453.46,0
CLM_10095,4984.0,Health,44,1,3578.95,PRV_136,Suburban,1,0,1405.05,0
CLM_10096,7933.74,Auto,34,1,2793.36,PRV_135,Urban,22,0,5140.38,0
CLM_10097,7896.54,Health,74,0,3029.87,PRV_120,Urban,26,1,4866.66,0
CLM_10098,7217.85,Auto,62,0,2603.8,PRV_146,Suburban,3,0,4614.05,1
CLM_10099,4034.49,Auto,100,0,3263.54,PRV_111,Suburban,6,0,770.95,1
CLM_10100,6295.67,Property,14,2,3254.71,PRV_120,Suburban,19,0,3040.97,0
CLM_10101,2706.47,Health,95,0,2076.11,PRV_120,Rural,6,0,630.36,0
CLM_10102,1875.97,Auto,48,0,1642.17,PRV_142,Urban,6,0,233.8,0
CLM_10103,8087.72,Auto,15,2,4008.35,PRV_105,Rural,9,0,4079.37,1
CLM_10104,8154.17,Property,72,0,3204.01,PRV_108,Rural,14,0,4950.16,1
CLM_10105,2840.44,Auto,78,2,3869.84,PRV_100,Urban,10,0,-1029.4,0
CLM_10106,2770.87,Auto,87,1,2329.6,PRV_111,Urban,9,0,441.28,0
CLM_10107,2203.49,Auto,62,2,2175.56,PRV_113,Rural,4,1,27.92,0
CLM_10108,4962.21,Auto,40,1,1988.16,PRV_105,Urban,9,0,2974.04,0
CLM_10109,7988.13,Property,85,0,2819.24,PRV_100,Suburban,1,0,5168.88,0
CLM_10110,2262.25,Health,80,1,3232.45,PRV_121,Suburban,5,0,-970.2,0
CLM_10111,3556.62,Auto,109,2,2456.18,PRV_133,Rural,2,0,1100.45,0
CLM_10112,12718.85,Health,82,2,4564.82,PRV_110,Rural,7,1,8154.02,1
CLM_10113,3210.44,Auto,111,0,2357.85,PRV_102,Urban,3,0,852.59,1
CLM_10114,7412.63,Property,53,3,3248.8,PRV_141,Urban,7,1,4163.83,0
CLM_10115,1591.24,Property,24,0,2116.96,PRV_105,Rural,15,1,-525.71,0
CLM_10116,3748.53,Auto,26,1,2326.88,PRV_105,Rural,5,0,1421.65,0
CLM_10117,5122.95,Property,89,0,2913.66,PRV_119,Suburban,2,0,2209.29,0
CLM_10118,5189.02,Health,60,0,2167.36,PRV_120,Suburban,2,0,3021.65,0
CLM_10119,3775.46,Auto,109,0,3089.42,PRV_101,Urban,23,0,686.04,0
CLM_10120,3992.31,Auto,41,1,3440.25,PRV_125,Suburban,15,0,552.06,0
CLM_10121,5147.09,Auto,29,0,4093.37,PRV_130,Urban,0,1,1053.71,0
CLM_10122,3627.53,Health,15,0,1920.1,PRV_125,Urban,28,0,1707.43,0
CLM_10123,8521.53,Property,45,1,3167.84,PRV_131,Urban,1,0,5353.69,0
CLM_10124,7572.4,Health,65,1,2938.05,PRV_109,Suburban,10,0,4634.35,0
CLM_10125,742.77,Property,89,1,1151.82,PRV_122,Rural,8,0,-409.05,0
CLM_10126,5047.39,Health,71,1,1871.21,PRV_105,Rural,0,0,3176.17,1
CLM_10127,2563.72,Property,9,0,3474.95,PRV_122,Suburban,3,0,-911.22,0
CLM_10128,2534.22,Health,88,2,1647.34,PRV_127,Rural,14,0,886.88,0
CLM_10129,7063.33,Auto,1,0,2926.58,PRV_148,Urban,3,0,4136.75,1
CLM_10130,617.61,Health,108,2,877.56,PRV_129,Rural,6,0,-259.95,0
CLM_10131,1741.12,Property,8,0,2897.05,PRV_113,Suburban,11,0,-1155.92,0
CLM_10132,1254.09,Auto,88,1,946.49,PRV_136,Rural,0,0,307.6,0
CLM_10133,5568.91,Property,63,0,2395.42,PRV_131,Urban,17,0,3173.49,0
CLM_10134,4623.32,Auto,11,0,2562.26,PRV_148,Urban,0,1,2061.06,0
CLM_10135,4817.28,Health,115,0,3123.03,PRV_133,Suburban,3,0,1694.26,0
CLM_10136,6958.42,Property,81,0,2747.45,PRV_140,Suburban,14,0,4210.97,1
CLM_10137,4263.43,Auto,8,0,1764.1,PRV_143,Suburban,24,0,2499.33,0
CLM_10138,4394.76,Auto,35,0,1782.79,PRV_121,Urban,14,0,2611.97,0
CLM_10139,2285.77,Auto,35,1,1385.89,PRV_130,Rural,2,0,899.88,0
CLM_10140,1759.15,Property,33,1,3206.49,PRV_106,Rural,42,0,-1447.33,1
CLM_10141,2942.07,Auto,5,1,3162.35,PRV_140,Suburban,5,0,-220.28,0
CLM_10142,8635.04,Property,106,0,3669.41,PRV_120,Rural,4,0,4965.63,0
CLM_10143,5957.0,Auto,103,2,2499.86,PRV_115,Rural,20,0,3457.14,0
CLM_10144,3709.32,Property,41,0,1265.66,PRV_119,Suburban,0,0,2443.66,0
CLM_10145,2618.15,Property,28,1,2684.0,PRV_142,Suburban,8,0,-65.85,0
CLM_10146,2430.87,Auto,7,2,3011.05,PRV_143,Urban,33,1,-580.18,1
CLM_10147,1554.41,Health,73,1,1835.25,PRV_146,Urban,1,1,-280.84,0
CLM_10148,1856.76,Auto,72,2,1930.16,PRV_149,Urban,7,0,-73.4,0
CLM_10149,6284.72,Health,12,0,3450.92,PRV_118,Urban,1,0,2833.8,0
CLM_10150,9109.71,Auto,34,1,3100.62,PRV_147,Rural,22,0,6009.09,0
CLM_10151,8156.54,Auto,33,1,4132.87,PRV_131,Rural,8,0,4023.67,1
CLM_10152,8531.51,Auto,48,2,4722.1,PRV_114,Urban,2,0,3809.41,0
CLM_10153,3268.95,Auto,119,1,1497.19,PRV_104,Urban,3,0,1771.76,0
CLM_10154,1767.63,Auto,23,0,2581.13,PRV_110,Suburban,7,0,-813.51,0
CLM_10155,7928.99,Health,62,2,3123.63,PRV_114,Rural,12,0,4805.35,1
CLM_10156,7121.35,Property,88,0,3363.57,PRV_128,Rural,6,0,3757.78,1
CLM_10157,3726.65,Auto,37,3,4015.88,PRV_149,Urban,2,0,-289.23,0
CLM_10158,7743.57,Health,99,1,3728.62,PRV_144,Rural,12,0,4014.94,1
CLM_10159,8237.63,Auto,44,1,4138.43,PRV_103,Suburban,1,0,4099.2,1
CLM_10160,2027.03,Property,104,1,3061.36,PRV_148,Suburban,16,0,-1034.33,0
CLM_10161,2768.32,Property,86,0,2371.5,PRV_135,Rural,5,0,396.82,0
CLM_10162,7312.84,Property,91,1,4949.96,PRV_147,Urban,10,0,2362.88,0
CLM_10163,3507.2,Property,35,0,3153.33,PRV_122,Rural,4,1,353.87,0
CLM_10164,3055.77,Auto,65,0,2758.15,PRV_114,Suburban,11,0,297.62,1
CLM_10165,3725.19,Property,99,1,1927.78,PRV_145,Urban,21,0,1797.41,0
CLM_10166,5298.89,Health,101,2,3159.47,PRV_143,Rural,12,0,2139.43,0
CLM_10167,8682.66,Auto,47,1,4004.49,PRV_102,Urban,11,0,4678.17,0
CLM_10168,7226.2,Property,78,0,2499.53,PRV_131,Urban,14,1,4726.66,0
CLM_10169,6167.22,Auto,3,0,2866.62,PRV_109,Suburban,6,1,3300.6,1
CLM_10170,6352.88,Health,1,2,3249.16,PRV_139,Urban,2,0,3103.72,0
CLM_10171,9093.27,Auto,5,2,3472.17,PRV_137,Rural,16,0,5621.1,0
CLM_10172,5700.04,Auto,90,0,2740.16,PRV_121,Urban,10,1,2959.88,1
CLM_10173,2381.99,Health,119,1,2606.39,PRV_113,Urban,3,0,-224.4,0
CLM_10174,3203.33,Health,14,1,2489.24,PRV_116,Rural,3,1,714.09,0
CLM_10175,4418.07,Auto,103,4,1893.4,PRV_120,Suburban,6,0,2524.67,0
CLM_10176,5231.06,Auto,27,0,2229.82,PRV_147,Suburban,2,0,3001.24,0
CLM_10177,6537.25,Property,9,1,2202.93,PRV_114,Rural,21,0,4334.32,1
CLM_10178,3013.96,Auto,79,0,1457.82,PRV_114,Rural,15,0,1556.13,0
CLM_10179,10976.06,Auto,15,0,3992.94,PRV_100,Suburban,3,0,6983.11,1
CLM_10180,2138.2,Property,90,2,3359.57,PRV_123,Urban,0,0,-1221.37,0
CLM_10181,6019.11,Property,42,0,3142.23,PRV_111,Rural,0,0,2876.88,0
CLM_10182,12051.1,Auto,77,2,4304.55,PRV_109,Urban,3,0,7746.55,0
CLM_10183,4528.75,Health,51,5,3717.85,PRV_145,Rural,1,0,810.9,0
CLM_10184,1961.03,Property,63,0,2210.38,PRV_141,Suburban,20,0,-249.35,0
CLM_10185,5743.74,Property,96,0,4173.39,PRV_141,Urban,5,0,1570.34,0
CLM_10186,9853.55,Health,103,1,3972.26,PRV_130,Urban,4,0,5881.29,0
CLM_10187,1339.57,Auto,113,0,1882.08,PRV_110,Rural,2,0,-542.51,0
CLM_10188,7808.87,Auto,52,2,3902.78,PRV_115,Urban,18,0,3906.09,0
CLM_10189,2125.18,Auto,96,1,2532.75,PRV_108,Rural,15,0,-407.57,0
CLM_10190,6350.79,Health,4,0,3997.15,PRV_146,Suburban,4,0,2353.65,0
CLM_10191,7759.73,Auto,94,3,2662.05,PRV_113,Urban,1,0,5097.68,1
CLM_10192,2436.72,Health,101,0,2466.67,PRV_118,Rural,30,0,-29.94,0
CLM_10193,1503.4,Auto,23,1,2569.73,PRV_130,Urban,3,0,-1066.33,0
CLM_10194,3179.66,Auto,103,0,2027.83,PRV_108,Rural,14,0,1151.83,0
CLM_10195,2954.55,Property,109,3,1519.64,PRV_135,Rural,6,0,1434.91,0
CLM_10196,623.14,Auto,15,0,501.0,PRV_138,Rural,15,0,122.14,0
CLM_10197,3607.45,Auto,43,2,1945.33,PRV_125,Suburban,6,0,1662.13,0
CLM_10198,16235.93,Property,29,0,5630.62,PRV_107,Urban,25,0,10605.31,0
CLM_10199,4450.18,Auto,36,1,3478.26,PRV_123,Suburban,16,0,971.92,0
CLM_10200,6194.92,Health,13,4,4864.22,PRV_107,Rural,3,0,1330.69,0
CLM_10201,4577.62,Health,32,0,2681.8,PRV_118,Rural,5,0,1895.82,0
CLM_10202,4527.38,Auto,71,1,2531.68,PRV_146,Suburban,1,1,1995.7,0
CLM_10203,2374.38,Property,59,1,4716.54,PRV_147,Suburban,23,0,-2342.16,0
CLM_10204,6885.5,Health,115,0,3375.76,PRV_129,Urban,0,0,3509.74,0
CLM_10205,6120.66,Auto,86,0,2044.72,PRV_121,Rural,0,1,4075.94,0
CLM_10206,4468.56,Auto,28,1,3632.92,PRV_108,Suburban,6,0,835.64,0
CLM_10207,8829.19,Auto,66,0,4250.88,PRV_143,Rural,9,0,4578.31,0
CLM_10208,804.23,Property,42,0,1572.13,PRV_147,Rural,2,0,-767.9,0
CLM_10209,6966.79,Auto,45,0,3464.66,PRV_103,Urban,8,0,3502.13,0
CLM_10210,2650.19,Health,62,2,1638.28,PRV_136,Urban,22,0,1011.91,0
CLM_10211,7662.15,Health,57,0,4196.76,PRV_107,Urban,9,0,3465.4,0
CLM_10212,6008.33,Health,117,2,3230.7,PRV_100,Suburban,6,0,2777.63,0
CLM_10213,3420.53,Auto,6,0,3629.66,PRV_127,Rural,1,1,-209.13,0
CLM_10214,6747.48,Auto,28,0,2782.56,PRV_105,Suburban,1,0,3964.92,0
CLM_10215,2301.16,Health,28,0,1218.4,PRV_146,Suburban,6,0,1082.76,0
CLM_10216,3007.56,Auto,108,1,2558.57,PRV_135,Urban,6,0,448.99,0
CLM_10217,11174.32,Auto,44,1,3929.84,PRV_110,Rural,7,1,7244.48,0
CLM_10218,2656.28,Auto,84,0,4993.63,PRV_104,Rural,7,1,-2337.35,0
CLM_10219,7597.99,Auto,30,1,3282.29,PRV_149,Urban,4,0,4315.7,0
CLM_10220,3361.93,Property,62,3,2313.65,PRV_123,Rural,11,0,1048.29,0
CLM_10221,6386.76,Auto,75,0,3535.7,PRV_146,Urban,2,0,2851.06,1
CLM_10222,4718.36,Auto,119,1,3839.89,PRV_117,Suburban,19,0,878.47,0
CLM_10223,4082.39,Auto,92,1,3132.75,PRV_119,Suburban,2,0,949.63,0
CLM_10224,1652.05,Health,89,1,3071.21,PRV_127,Urban,5,1,-1419.16,1
CLM_10225,7470.39,Health,103,2,3213.61,PRV_112,Suburban,2,0,4256.79,0
CLM_10226,6930.15,Auto,62,1,3043.55,PRV_104,Suburban,9,0,3886.6,1
CLM_10227,7043.72,Health,97,0,3297.78,PRV_129,Urban,6,0,3745.93,1
CLM_10228,13009.69,Health,1,0,4827.56,PRV_100,Suburban,4,0,8182.12,0
CLM_10229,2661.48,Property,27,1,966.7,PRV_121,Rural,6,0,1694.78,0
CLM_10230,5222.39,Property,62,0,2761.54,PRV_117,Suburban,5,0,2460.84,0
CLM_10231,4573.75,Auto,116,1,2067.65,PRV_145,Urban,19,0,2506.11,0
CLM_10232,2205.36,Auto,77,1,4180.8,PRV_104,Rural,1,0,-1975.45,0
CLM_10233,7479.05,Auto,105,4,2859.12,PRV_130,Rural,15,0,4619.93,1
CLM_10234,9045.33,Auto,3,0,3559.7,PRV_105,Suburban,10,0,5485.62,1
CLM_10235,2437.77,Property,103,2,4427.31,PRV_126,Rural,4,0,-1989.54,0
CLM_10236,3563.69,Auto,70,1,1918.99,PRV_124,Urban,25,0,1644.7,0
CLM_10237,6840.47,Auto,72,0,2472.48,PRV_128,Rural,1,0,4367.98,0
CLM_10238,4122.88,Health,27,0,4324.08,PRV_127,Suburban,3,0,-201.2,0
CLM_10239,2595.96,Health,9,1,1878.94,PRV_115,Suburban,4,0,717.03,0
CLM_10240,3327.34,Auto,62,1,2506.22,PRV_111,Rural,10,0,821.12,0
CLM_10241,1945.3,Auto,37,2,1399.64,PRV_119,Urban,29,0,545.65,0
CLM_10242,2638.59,Auto,97,1,4363.36,PRV_117,Urban,9,0,-1724.77,0
CLM_10243,2896.56,Health,51,0,2418.75,PRV_133,Suburban,19,0,477.81,0
CLM_10244,4145.86,Auto,106,1,3351.16,PRV_122,Suburban,23,0,794.7,0
CLM_10245,9795.31,Auto,44,2,3675.98,PRV_144,Urban,6,0,6119.33,1
CLM_10246,3032.17,Health,24,0,2196.76,PRV_126,Rural,6,0,835.41,0
CLM_10247,1773.37,Auto,79,1,1096.0,PRV_148,Rural,2,0,677.37,0
CLM_10248,4036.91,Health,59,3,2780.54,PRV_116,Rural,9,0,1256.37,0
CLM_10249,2215.99,Auto,118,0,2764.17,PRV_147,Rural,1,0,-548.18,0
CLM_10250,8747.62,Auto,32,0,2939.5,PRV_120,Urban,10,1,5808.13,1
CLM_10251,7552.68,Property,96,0,2945.02,PRV_149,Suburban,22,0,4607.66,0
CLM_10252,4633.02,Health,88,1,2501.23,PRV_139,Suburban,14,0,2131.8,0
CLM_10253,4163.81,Auto,105,2,2462.46,PRV_130,Rural,10,0,1701.34,0
CLM_10254,7001.48,Health,52,0,3297.7,PRV_102,Urban,18,0,3703.77,1
CLM_10255,2863.97,Health,113,1,2176.14,PRV_116,Urban,13,0,687.83,0
CLM_10256,1817.48,Health,62,4,2904.68,PRV_149,Rural,7,0,-1087.2,0
CLM_10257,3681.86,Auto,113,1,2437.04,PRV_125,Rural,7,0,1244.82,0
CLM_10258,9754.81,Property,58,1,3295.61,PRV_122,Rural,1,0,6459.2,0
CLM_10259,3927.25,Auto,52,0,4108.58,PRV_105,Suburban,5,0,-181.32,0
CLM_10260,7548.81,Auto,12,2,4149.38,PRV_127,Rural,7,0,3399.43,0
CLM_10261,2236.02,Auto,39,1,4289.29,PRV_107,Suburban,6,0,-2053.27,0
CLM_10262,2146.27,Auto,2,1,2665.91,PRV_144,Urban,14,0,-519.64,0
CLM_10263,5411.85,Property,3,2,2749.95,PRV_107,Urban,1,0,2661.9,0
CLM_10264,2152.62,Auto,113,1,1731.05,PRV_118,Suburban,15,0,421.57,0
CLM_10265,7345.76,Auto,101,1,2657.45,PRV_137,Suburban,13,0,4688.3,1
CLM_10266,4081.28,Property,113,1,2693.16,PRV_128,Suburban,23,1,1388.12,0
CLM_10267,2430.71,Auto,56,0,2382.85,PRV_122,Suburban,4,0,47.86,0
CLM_10268,4432.93,Auto,81,0,2378.21,PRV_146,Rural,1,0,2054.72,0
CLM_10269,3239.39,Auto,59,1,1302.3,PRV_131,Urban,14,0,1937.09,0
CLM_10270,909.54,Auto,113,0,1658.09,PRV_109,Rural,8,0,-748.54,0
CLM_10271,5369.97,Auto,2,1,3044.54,PRV_126,Suburban,12,0,2325.42,0
CLM_10272,7500.43,Health,2,4,3082.07,PRV_148,Rural,57,0,4418.36,1
CLM_10273,2643.54,Auto,92,1,3483.06,PRV_100,Rural,2,0,-839.52,0
CLM_10274,7557.22,Auto,54,0,2741.11,PRV_138,Urban,5,0,4816.11,0
CLM_10275,3497.41,Health,87,0,3011.65,PRV_128,Rural,2,1,485.76,1
CLM_10276,3938.14,Health,101,0,4250.51,PRV_144,Urban,19,0,-312.37,0
CLM_10277,5815.04,Auto,96,0,2947.1,PRV_102,Suburban,0,0,2867.94,0
CLM_10278,2220.12,Health,97,3,2367.93,PRV_146,Rural,1,0,-147.81,0
CLM_10279,3978.56,Auto,1,0,1809.05,PRV_136,Suburban,2,0,2169.51,0
CLM_10280,6551.62,Auto,19,1,3797.48,PRV_130,Urban,14,0,2754.14,0
CLM_10281,1004.77,Health,2,2,1296.66,PRV_110,Suburban,9,0,-291.89,0
CLM_10282,6011.84,Auto,53,0,2161.58,PRV_121,Suburban,4,0,3850.26,1
CLM_10283,7462.8,Property,44,0,3418.58,PRV_117,Urban,1,0,4044.23,1
CLM_10284,2039.26,Auto,90,0,1093.45,PRV_134,Suburban,3,0,945.81,0
CLM_10285,3425.43,Health,32,2,2385.65,PRV_105,Suburban,13,0,1039.79,0
CLM_10286,2619.58,Auto,70,0,3129.17,PRV_102,Suburban,4,0,-509.59,0
CLM_10287,5936.67,Health,32,1,2616.66,PRV_104,Rural,6,0,3320.01,1
CLM_10288,5112.15,Health,119,1,2017.31,PRV_108,Suburban,9,0,3094.84,1
CLM_10289,1960.25,Property,68,3,2406.56,PRV_127,Urban,24,0,-446.3,1
CLM_10290,6627.88,Auto,55,0,3816.98,PRV_118,Rural,2,0,2810.9,0
CLM_10291,8271.88,Health,75,3,4831.38,PRV_127,Rural,5,0,3440.5,1
CLM_10292,4316.1,Health,56,0,3139.49,PRV_126,Urban,3,0,1176.62,0
CLM_10293,2502.33,Health,17,1,1011.72,PRV_112,Suburban,6,0,1490.62,0
CLM_10294,2671.88,Health,38,0,3568.1,PRV_137,Rural,11,0,-896.22,0
CLM_10295,2636.29,Health,24,0,2603.62,PRV_142,Rural,6,0,32.67,0
CLM_10296,959.92,Auto,69,1,1904.58,PRV_120,Rural,17,0,-944.66,0
CLM_10297,3151.03,Auto,116,1,2199.73,PRV_126,Suburban,8,0,951.3,0
CLM_10298,2753.31,Auto,98,0,2242.21,PRV_145,Rural,4,0,511.1,0
CLM_10299,4239.04,Auto,70,1,1589.15,PRV_105,Urban,15,0,2649.89,0
CLM_10300,6944.45,Property,86,0,2936.93,PRV_137,Suburban,5,0,4007.52,1
CLM_10301,3433.68,Health,11,1,4828.15,PRV_148,Urban,7,0,-1394.46,0
CLM_10302,4471.44,Property,112,0,1900.81,PRV_110,Urban,52,0,2570.63,1
